Issue ID;Fehlerklasse;Param-Team;Status;Titel;Erstellt am;Erfasser;Zugewiesen an;Issue Typ;Externer Bearbeiter;ExternerBearbeiterRef.;Prozessbereich
36938;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 ?bersicht Zahlungen: Keine Daten vorhanden;18.04.16;LU13755;lue0496;Fehler;Avaloq;272106;Projekt NTS
37681;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 Kontodetails | AFP-18 | Standard Reports-Account Detail | Inhaber werden nicht alles angezeigt / Anrede falsch;24.05.16;lu13785;lu13807;Fehler;Avaloq;272157;Projekt NTS
37686;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 Kontodetails | AFP-18 | Standard Reports-Account Detail | Inhaber Daten werden unterschiedlich angezeigt;24.05.16;lu13785;lu13807;Fehler;Avaloq;272157;Projekt NTS
37174;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: langsame Antwortzeiten;29.04.16;lue0496;lue0496;Fehler;Avaloq;267910;Projekt NTS
37942;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0: Constraints Verleztungen in Tabelle AFS_SEC_CODE_TAB_ACCESS;23.05.16;lu12569;lu12569;Fehler;Avaloq;270294;Projekt NTS
38045;A - Critical;ZIW B;Warten auf Drittlieferant;NTS 2.0: Login on Behalf nur m_glich, wenn der Vertrag entsperrt ist;09.06.16;lu12395;lu13807;Fehler;Avaloq;270926;Projekt NTS
38276;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: Parameter f?r Eingabe Profile bei Create DB-User;14.06.16;lu11704;lu11704;Fehler;Avaloq;271049;Projekt NTS
38370;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: ActiveMQ r_umt log-files nicht auf;15.06.16;lu11704;lu11704;Fehler;Avaloq;271200;Projekt NTS
35035;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: AFP-94: Konto/ZV-Daten abholen : Berechtigung ESR-Download generiert keine Files;26.11.15;lu12395;lu11843;Fehler;Avaloq;271248;Projekt NTS
38435;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Synchronisation ACP - AFP nach Neustart activemq funnktioniert nicht - die bestehenden Meldungen bleiben liegen;16.06.16;lu11843;lu11843;Fehler;Avaloq;271302;Projekt NTS
38438;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Synchronisation ACP - AFP  - Mit welchen Mitteln von Avaloq kann die Nicht-Snchronit_t ermittelt, ?berwacht und behoben werden;16.06.16;lu11843;lu13807;Fehler;Avaloq;271303;Projekt NTS
38619;A - Critical;ZIW A;Warten auf Drittlieferant;Kontoauszug: Filter Zeitspanne funktioniert nicht korrekt;23.06.16;LU13364;lu13807;Fehler;Avaloq;271912;Projekt NTS
38645;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Whiteliste nicht verf?gbar im E-Banking;27.06.16;lu12395;lu10865;Fehler;Avaloq;272035;Projekt NTS
36938;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 ?bersicht Zahlungen: Keine Daten vorhanden;18.04.16;LU13755;lue0496;Fehler;Avaloq;272106;Projekt NTS
37681;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 Kontodetails | AFP-18 | Standard Reports-Account Detail | Inhaber werden nicht alles angezeigt / Anrede falsch;24.05.16;lu13785;lu13807;Fehler;Avaloq;272157;Projekt NTS
37686;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 Kontodetails | AFP-18 | Standard Reports-Account Detail | Inhaber Daten werden unterschiedlich angezeigt;24.05.16;lu13785;lu13807;Fehler;Avaloq;272157;Projekt NTS
37174;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: langsame Antwortzeiten;29.04.16;lue0496;lue0496;Fehler;Avaloq;267910;Projekt NTS
37942;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0: Constraints Verleztungen in Tabelle AFS_SEC_CODE_TAB_ACCESS;23.05.16;lu12569;lu12569;Fehler;Avaloq;270294;Projekt NTS
38045;A - Critical;ZIW B;Warten auf Drittlieferant;NTS 2.0: Login on Behalf nur m_glich, wenn der Vertrag entsperrt ist;09.06.16;lu12395;lu13807;Fehler;Avaloq;270926;Projekt NTS
38276;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: Parameter f?r Eingabe Profile bei Create DB-User;14.06.16;lu11704;lu11704;Fehler;Avaloq;271049;Projekt NTS
38370;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: ActiveMQ r_umt log-files nicht auf;15.06.16;lu11704;lu11704;Fehler;Avaloq;271200;Projekt NTS
35035;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: AFP-94: Konto/ZV-Daten abholen : Berechtigung ESR-Download generiert keine Files;26.11.15;lu12395;lu11843;Fehler;Avaloq;271248;Projekt NTS
38435;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Synchronisation ACP - AFP nach Neustart activemq funnktioniert nicht - die bestehenden Meldungen bleiben liegen;16.06.16;lu11843;lu11843;Fehler;Avaloq;271302;Projekt NTS
38438;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Synchronisation ACP - AFP  - Mit welchen Mitteln von Avaloq kann die Nicht-Snchronit_t ermittelt, ?berwacht und behoben werden;16.06.16;lu11843;lu13807;Fehler;Avaloq;271303;Projekt NTS
38619;A - Critical;ZIW A;Warten auf Drittlieferant;Kontoauszug: Filter Zeitspanne funktioniert nicht korrekt;23.06.16;LU13364;lu13807;Fehler;Avaloq;271912;Projekt NTS
38645;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Whiteliste nicht verf?gbar im E-Banking;27.06.16;lu12395;lu10865;Fehler;Avaloq;272035;Projekt NTS
36938;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 ?bersicht Zahlungen: Keine Daten vorhanden;18.04.16;LU13755;lue0496;Fehler;Avaloq;272106;Projekt NTS
37681;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 Kontodetails | AFP-18 | Standard Reports-Account Detail | Inhaber werden nicht alles angezeigt / Anrede falsch;24.05.16;lu13785;lu13807;Fehler;Avaloq;272157;Projekt NTS
37686;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 Kontodetails | AFP-18 | Standard Reports-Account Detail | Inhaber Daten werden unterschiedlich angezeigt;24.05.16;lu13785;lu13807;Fehler;Avaloq;272157;Projekt NTS
37174;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: langsame Antwortzeiten;29.04.16;lue0496;lue0496;Fehler;Avaloq;267910;Projekt NTS
37942;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0: Constraints Verleztungen in Tabelle AFS_SEC_CODE_TAB_ACCESS;23.05.16;lu12569;lu12569;Fehler;Avaloq;270294;Projekt NTS
38045;A - Critical;ZIW B;Warten auf Drittlieferant;NTS 2.0: Login on Behalf nur m_glich, wenn der Vertrag entsperrt ist;09.06.16;lu12395;lu13807;Fehler;Avaloq;270926;Projekt NTS
38276;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: Parameter f?r Eingabe Profile bei Create DB-User;14.06.16;lu11704;lu11704;Fehler;Avaloq;271049;Projekt NTS
38370;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: ActiveMQ r_umt log-files nicht auf;15.06.16;lu11704;lu11704;Fehler;Avaloq;271200;Projekt NTS
35035;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: AFP-94: Konto/ZV-Daten abholen : Berechtigung ESR-Download generiert keine Files;26.11.15;lu12395;lu11843;Fehler;Avaloq;271248;Projekt NTS
38435;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Synchronisation ACP - AFP nach Neustart activemq funnktioniert nicht - die bestehenden Meldungen bleiben liegen;16.06.16;lu11843;lu11843;Fehler;Avaloq;271302;Projekt NTS
38438;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Synchronisation ACP - AFP  - Mit welchen Mitteln von Avaloq kann die Nicht-Snchronit_t ermittelt, ?berwacht und behoben werden;16.06.16;lu11843;lu13807;Fehler;Avaloq;271303;Projekt NTS
38619;A - Critical;ZIW A;Warten auf Drittlieferant;Kontoauszug: Filter Zeitspanne funktioniert nicht korrekt;23.06.16;LU13364;lu13807;Fehler;Avaloq;271912;Projekt NTS
38645;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Whiteliste nicht verf?gbar im E-Banking;27.06.16;lu12395;lu10865;Fehler;Avaloq;272035;Projekt NTS
36938;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 ?bersicht Zahlungen: Keine Daten vorhanden;18.04.16;LU13755;lue0496;Fehler;Avaloq;272106;Projekt NTS
37681;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 Kontodetails | AFP-18 | Standard Reports-Account Detail | Inhaber werden nicht alles angezeigt / Anrede falsch;24.05.16;lu13785;lu13807;Fehler;Avaloq;272157;Projekt NTS
37686;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 Kontodetails | AFP-18 | Standard Reports-Account Detail | Inhaber Daten werden unterschiedlich angezeigt;24.05.16;lu13785;lu13807;Fehler;Avaloq;272157;Projekt NTS
37174;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: langsame Antwortzeiten;29.04.16;lue0496;lue0496;Fehler;Avaloq;267910;Projekt NTS
37942;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0: Constraints Verleztungen in Tabelle AFS_SEC_CODE_TAB_ACCESS;23.05.16;lu12569;lu12569;Fehler;Avaloq;270294;Projekt NTS
38045;A - Critical;ZIW B;Warten auf Drittlieferant;NTS 2.0: Login on Behalf nur m_glich, wenn der Vertrag entsperrt ist;09.06.16;lu12395;lu13807;Fehler;Avaloq;270926;Projekt NTS
38276;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: Parameter f?r Eingabe Profile bei Create DB-User;14.06.16;lu11704;lu11704;Fehler;Avaloq;271049;Projekt NTS
38370;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: ActiveMQ r_umt log-files nicht auf;15.06.16;lu11704;lu11704;Fehler;Avaloq;271200;Projekt NTS
35035;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: AFP-94: Konto/ZV-Daten abholen : Berechtigung ESR-Download generiert keine Files;26.11.15;lu12395;lu11843;Fehler;Avaloq;271248;Projekt NTS
38435;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Synchronisation ACP - AFP nach Neustart activemq funnktioniert nicht - die bestehenden Meldungen bleiben liegen;16.06.16;lu11843;lu11843;Fehler;Avaloq;271302;Projekt NTS
38438;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Synchronisation ACP - AFP  - Mit welchen Mitteln von Avaloq kann die Nicht-Snchronit_t ermittelt, ?berwacht und behoben werden;16.06.16;lu11843;lu13807;Fehler;Avaloq;271303;Projekt NTS
38619;A - Critical;ZIW A;Warten auf Drittlieferant;Kontoauszug: Filter Zeitspanne funktioniert nicht korrekt;23.06.16;LU13364;lu13807;Fehler;Avaloq;271912;Projekt NTS
38645;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Whiteliste nicht verf?gbar im E-Banking;27.06.16;lu12395;lu10865;Fehler;Avaloq;272035;Projekt NTS
36938;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 ?bersicht Zahlungen: Keine Daten vorhanden;18.04.16;LU13755;lue0496;Fehler;Avaloq;272106;Projekt NTS
37681;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 Kontodetails | AFP-18 | Standard Reports-Account Detail | Inhaber werden nicht alles angezeigt / Anrede falsch;24.05.16;lu13785;lu13807;Fehler;Avaloq;272157;Projekt NTS
37686;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 Kontodetails | AFP-18 | Standard Reports-Account Detail | Inhaber Daten werden unterschiedlich angezeigt;24.05.16;lu13785;lu13807;Fehler;Avaloq;272157;Projekt NTS
37174;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: langsame Antwortzeiten;29.04.16;lue0496;lue0496;Fehler;Avaloq;267910;Projekt NTS
37942;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0: Constraints Verleztungen in Tabelle AFS_SEC_CODE_TAB_ACCESS;23.05.16;lu12569;lu12569;Fehler;Avaloq;270294;Projekt NTS
38045;A - Critical;ZIW B;Warten auf Drittlieferant;NTS 2.0: Login on Behalf nur m_glich, wenn der Vertrag entsperrt ist;09.06.16;lu12395;lu13807;Fehler;Avaloq;270926;Projekt NTS
38276;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: Parameter f?r Eingabe Profile bei Create DB-User;14.06.16;lu11704;lu11704;Fehler;Avaloq;271049;Projekt NTS
38370;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: ActiveMQ r_umt log-files nicht auf;15.06.16;lu11704;lu11704;Fehler;Avaloq;271200;Projekt NTS
35035;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: AFP-94: Konto/ZV-Daten abholen : Berechtigung ESR-Download generiert keine Files;26.11.15;lu12395;lu11843;Fehler;Avaloq;271248;Projekt NTS
38435;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Synchronisation ACP - AFP nach Neustart activemq funnktioniert nicht - die bestehenden Meldungen bleiben liegen;16.06.16;lu11843;lu11843;Fehler;Avaloq;271302;Projekt NTS
38438;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Synchronisation ACP - AFP  - Mit welchen Mitteln von Avaloq kann die Nicht-Snchronit_t ermittelt, ?berwacht und behoben werden;16.06.16;lu11843;lu13807;Fehler;Avaloq;271303;Projekt NTS
38619;A - Critical;ZIW A;Warten auf Drittlieferant;Kontoauszug: Filter Zeitspanne funktioniert nicht korrekt;23.06.16;LU13364;lu13807;Fehler;Avaloq;271912;Projekt NTS
38645;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Whiteliste nicht verf?gbar im E-Banking;27.06.16;lu12395;lu10865;Fehler;Avaloq;272035;Projekt NTS
36938;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 ?bersicht Zahlungen: Keine Daten vorhanden;18.04.16;LU13755;lue0496;Fehler;Avaloq;272106;Projekt NTS
37681;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 Kontodetails | AFP-18 | Standard Reports-Account Detail | Inhaber werden nicht alles angezeigt / Anrede falsch;24.05.16;lu13785;lu13807;Fehler;Avaloq;272157;Projekt NTS
37686;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 Kontodetails | AFP-18 | Standard Reports-Account Detail | Inhaber Daten werden unterschiedlich angezeigt;24.05.16;lu13785;lu13807;Fehler;Avaloq;272157;Projekt NTS
37174;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: langsame Antwortzeiten;29.04.16;lue0496;lue0496;Fehler;Avaloq;267910;Projekt NTS
37942;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0: Constraints Verleztungen in Tabelle AFS_SEC_CODE_TAB_ACCESS;23.05.16;lu12569;lu12569;Fehler;Avaloq;270294;Projekt NTS
38045;A - Critical;ZIW B;Warten auf Drittlieferant;NTS 2.0: Login on Behalf nur m_glich, wenn der Vertrag entsperrt ist;09.06.16;lu12395;lu13807;Fehler;Avaloq;270926;Projekt NTS
38276;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: Parameter f?r Eingabe Profile bei Create DB-User;14.06.16;lu11704;lu11704;Fehler;Avaloq;271049;Projekt NTS
38370;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: ActiveMQ r_umt log-files nicht auf;15.06.16;lu11704;lu11704;Fehler;Avaloq;271200;Projekt NTS
35035;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: AFP-94: Konto/ZV-Daten abholen : Berechtigung ESR-Download generiert keine Files;26.11.15;lu12395;lu11843;Fehler;Avaloq;271248;Projekt NTS
38435;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Synchronisation ACP - AFP nach Neustart activemq funnktioniert nicht - die bestehenden Meldungen bleiben liegen;16.06.16;lu11843;lu11843;Fehler;Avaloq;271302;Projekt NTS
38438;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Synchronisation ACP - AFP  - Mit welchen Mitteln von Avaloq kann die Nicht-Snchronit_t ermittelt, ?berwacht und behoben werden;16.06.16;lu11843;lu13807;Fehler;Avaloq;271303;Projekt NTS
38619;A - Critical;ZIW A;Warten auf Drittlieferant;Kontoauszug: Filter Zeitspanne funktioniert nicht korrekt;23.06.16;LU13364;lu13807;Fehler;Avaloq;271912;Projekt NTS
38645;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Whiteliste nicht verf?gbar im E-Banking;27.06.16;lu12395;lu10865;Fehler;Avaloq;272035;Projekt NTS
36938;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 ?bersicht Zahlungen: Keine Daten vorhanden;18.04.16;LU13755;lue0496;Fehler;Avaloq;272106;Projekt NTS
37681;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 Kontodetails | AFP-18 | Standard Reports-Account Detail | Inhaber werden nicht alles angezeigt / Anrede falsch;24.05.16;lu13785;lu13807;Fehler;Avaloq;272157;Projekt NTS
37686;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 Kontodetails | AFP-18 | Standard Reports-Account Detail | Inhaber Daten werden unterschiedlich angezeigt;24.05.16;lu13785;lu13807;Fehler;Avaloq;272157;Projekt NTS
37174;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: langsame Antwortzeiten;29.04.16;lue0496;lue0496;Fehler;Avaloq;267910;Projekt NTS
37942;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0: Constraints Verleztungen in Tabelle AFS_SEC_CODE_TAB_ACCESS;23.05.16;lu12569;lu12569;Fehler;Avaloq;270294;Projekt NTS
38045;A - Critical;ZIW B;Warten auf Drittlieferant;NTS 2.0: Login on Behalf nur m_glich, wenn der Vertrag entsperrt ist;09.06.16;lu12395;lu13807;Fehler;Avaloq;270926;Projekt NTS
38276;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: Parameter f?r Eingabe Profile bei Create DB-User;14.06.16;lu11704;lu11704;Fehler;Avaloq;271049;Projekt NTS
38370;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: ActiveMQ r_umt log-files nicht auf;15.06.16;lu11704;lu11704;Fehler;Avaloq;271200;Projekt NTS
35035;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: AFP-94: Konto/ZV-Daten abholen : Berechtigung ESR-Download generiert keine Files;26.11.15;lu12395;lu11843;Fehler;Avaloq;271248;Projekt NTS
38435;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Synchronisation ACP - AFP nach Neustart activemq funnktioniert nicht - die bestehenden Meldungen bleiben liegen;16.06.16;lu11843;lu11843;Fehler;Avaloq;271302;Projekt NTS
38438;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Synchronisation ACP - AFP  - Mit welchen Mitteln von Avaloq kann die Nicht-Snchronit_t ermittelt, ?berwacht und behoben werden;16.06.16;lu11843;lu13807;Fehler;Avaloq;271303;Projekt NTS
38619;A - Critical;ZIW A;Warten auf Drittlieferant;Kontoauszug: Filter Zeitspanne funktioniert nicht korrekt;23.06.16;LU13364;lu13807;Fehler;Avaloq;271912;Projekt NTS
38645;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Whiteliste nicht verf?gbar im E-Banking;27.06.16;lu12395;lu10865;Fehler;Avaloq;272035;Projekt NTS
36938;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 ?bersicht Zahlungen: Keine Daten vorhanden;18.04.16;LU13755;lue0496;Fehler;Avaloq;272106;Projekt NTS
37681;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 Kontodetails | AFP-18 | Standard Reports-Account Detail | Inhaber werden nicht alles angezeigt / Anrede falsch;24.05.16;lu13785;lu13807;Fehler;Avaloq;272157;Projekt NTS
37686;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 Kontodetails | AFP-18 | Standard Reports-Account Detail | Inhaber Daten werden unterschiedlich angezeigt;24.05.16;lu13785;lu13807;Fehler;Avaloq;272157;Projekt NTS
37174;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: langsame Antwortzeiten;29.04.16;lue0496;lue0496;Fehler;Avaloq;267910;Projekt NTS
37942;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0: Constraints Verleztungen in Tabelle AFS_SEC_CODE_TAB_ACCESS;23.05.16;lu12569;lu12569;Fehler;Avaloq;270294;Projekt NTS
38045;A - Critical;ZIW B;Warten auf Drittlieferant;NTS 2.0: Login on Behalf nur m_glich, wenn der Vertrag entsperrt ist;09.06.16;lu12395;lu13807;Fehler;Avaloq;270926;Projekt NTS
38276;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: Parameter f?r Eingabe Profile bei Create DB-User;14.06.16;lu11704;lu11704;Fehler;Avaloq;271049;Projekt NTS
38370;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: ActiveMQ r_umt log-files nicht auf;15.06.16;lu11704;lu11704;Fehler;Avaloq;271200;Projekt NTS
35035;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: AFP-94: Konto/ZV-Daten abholen : Berechtigung ESR-Download generiert keine Files;26.11.15;lu12395;lu11843;Fehler;Avaloq;271248;Projekt NTS
38435;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Synchronisation ACP - AFP nach Neustart activemq funnktioniert nicht - die bestehenden Meldungen bleiben liegen;16.06.16;lu11843;lu11843;Fehler;Avaloq;271302;Projekt NTS
38438;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Synchronisation ACP - AFP  - Mit welchen Mitteln von Avaloq kann die Nicht-Snchronit_t ermittelt, ?berwacht und behoben werden;16.06.16;lu11843;lu13807;Fehler;Avaloq;271303;Projekt NTS
38619;A - Critical;ZIW A;Warten auf Drittlieferant;Kontoauszug: Filter Zeitspanne funktioniert nicht korrekt;23.06.16;LU13364;lu13807;Fehler;Avaloq;271912;Projekt NTS
38645;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Whiteliste nicht verf?gbar im E-Banking;27.06.16;lu12395;lu10865;Fehler;Avaloq;272035;Projekt NTS
36938;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 ?bersicht Zahlungen: Keine Daten vorhanden;18.04.16;LU13755;lue0496;Fehler;Avaloq;272106;Projekt NTS
37681;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 Kontodetails | AFP-18 | Standard Reports-Account Detail | Inhaber werden nicht alles angezeigt / Anrede falsch;24.05.16;lu13785;lu13807;Fehler;Avaloq;272157;Projekt NTS
37686;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 Kontodetails | AFP-18 | Standard Reports-Account Detail | Inhaber Daten werden unterschiedlich angezeigt;24.05.16;lu13785;lu13807;Fehler;Avaloq;272157;Projekt NTS
37174;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: langsame Antwortzeiten;29.04.16;lue0496;lue0496;Fehler;Avaloq;267910;Projekt NTS
37942;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0: Constraints Verleztungen in Tabelle AFS_SEC_CODE_TAB_ACCESS;23.05.16;lu12569;lu12569;Fehler;Avaloq;270294;Projekt NTS
38045;A - Critical;ZIW B;Warten auf Drittlieferant;NTS 2.0: Login on Behalf nur m_glich, wenn der Vertrag entsperrt ist;09.06.16;lu12395;lu13807;Fehler;Avaloq;270926;Projekt NTS
38276;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: Parameter f?r Eingabe Profile bei Create DB-User;14.06.16;lu11704;lu11704;Fehler;Avaloq;271049;Projekt NTS
38370;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: ActiveMQ r_umt log-files nicht auf;15.06.16;lu11704;lu11704;Fehler;Avaloq;271200;Projekt NTS
35035;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: AFP-94: Konto/ZV-Daten abholen : Berechtigung ESR-Download generiert keine Files;26.11.15;lu12395;lu11843;Fehler;Avaloq;271248;Projekt NTS
38435;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Synchronisation ACP - AFP nach Neustart activemq funnktioniert nicht - die bestehenden Meldungen bleiben liegen;16.06.16;lu11843;lu11843;Fehler;Avaloq;271302;Projekt NTS
38438;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Synchronisation ACP - AFP  - Mit welchen Mitteln von Avaloq kann die Nicht-Snchronit_t ermittelt, ?berwacht und behoben werden;16.06.16;lu11843;lu13807;Fehler;Avaloq;271303;Projekt NTS
38619;A - Critical;ZIW A;Warten auf Drittlieferant;Kontoauszug: Filter Zeitspanne funktioniert nicht korrekt;23.06.16;LU13364;lu13807;Fehler;Avaloq;271912;Projekt NTS
38645;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Whiteliste nicht verf?gbar im E-Banking;27.06.16;lu12395;lu10865;Fehler;Avaloq;272035;Projekt NTS
36938;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 ?bersicht Zahlungen: Keine Daten vorhanden;18.04.16;LU13755;lue0496;Fehler;Avaloq;272106;Projekt NTS
37681;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 Kontodetails | AFP-18 | Standard Reports-Account Detail | Inhaber werden nicht alles angezeigt / Anrede falsch;24.05.16;lu13785;lu13807;Fehler;Avaloq;272157;Projekt NTS
37686;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0 Kontodetails | AFP-18 | Standard Reports-Account Detail | Inhaber Daten werden unterschiedlich angezeigt;24.05.16;lu13785;lu13807;Fehler;Avaloq;272157;Projekt NTS
37174;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: langsame Antwortzeiten;29.04.16;lue0496;lue0496;Fehler;Avaloq;267910;Projekt NTS
37942;A - Critical;ZIW A;Warten auf Drittlieferant;NTS 2.0: Constraints Verleztungen in Tabelle AFS_SEC_CODE_TAB_ACCESS;23.05.16;lu12569;lu12569;Fehler;Avaloq;270294;Projekt NTS
38045;A - Critical;ZIW B;Warten auf Drittlieferant;NTS 2.0: Login on Behalf nur m_glich, wenn der Vertrag entsperrt ist;09.06.16;lu12395;lu13807;Fehler;Avaloq;270926;Projekt NTS
38276;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: Parameter f?r Eingabe Profile bei Create DB-User;14.06.16;lu11704;lu11704;Fehler;Avaloq;271049;Projekt NTS
38370;A - Critical;ZIW A;Warten auf Drittlieferant;PEG191 NTS: ActiveMQ r_umt log-files nicht auf;15.06.16;lu11704;lu11704;Fehler;Avaloq;271200;Projekt NTS
35035;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: AFP-94: Konto/ZV-Daten abholen : Berechtigung ESR-Download generiert keine Files;26.11.15;lu12395;lu11843;Fehler;Avaloq;271248;Projekt NTS
38435;A - Critical;ZIW F;Warten auf Drittlieferant;NTS 2.0: Synchronisation ACP - AFP nach Neustart activemq funnktioniert nicht - die bestehenden Meldungen bleiben liegen;16.06.16;lu11843;lu11843;Fehler;Avaloq;271302;Projekt NTS
